LOJA;DATA;SKU;QTD_ANTIGA;QTDE_AJUSTE;TIPO_AJUSTE
064;13/01/2025;10220110944390;2;1;AJUSTE CONTAGEM SAIDA
299;27/03/2025;10220110944410;1;1;SA?DA DO ESTOQUE
024;02/01/2025;999999991504736;26;1;AJUSTE CONTAGEM ENTRADA
299;10/01/2025;10220110944430;1;1;SA?DA DO ESTOQUE
010;19/05/2025;20210410114390;-5;5;ENTRADA NO ESTOQUE
010;09/04/2025;20210410114390;-1;1;ENTRADA NO ESTOQUE
125;15/05/2025;50210110276350;1;1;ENTRADA NO ESTOQUE
DES;16/06/2025;50210110276350;1;1;SA?DA DO ESTOQUE
045;29/04/2025;50210110276350;0;1;ENTRADA NO ESTOQUE
417;02/01/2025;999999991893822;0;1;AJUSTE CONTAGEM ENTRADA
DES;16/06/2025;50210110276370;1;1;SA?DA DO ESTOQUE
301;02/01/2025;999999992093642;-1;1;AJUSTE CONTAGEM ENTRADA
010;07/01/2025;50210110276370;1;1;SA?DA DO ESTOQUE
002;09/01/2025;50210110276370;2;1;AJUSTE CONTAGEM SAIDA
042;16/01/2025;50240110011390;1;1;SA?DA DO ESTOQUE
431;01/04/2025;245032420218500;0;7;ENTRADA NO ESTOQUE
124;04/02/2025;300252440001500;2;2;SA?DA DO ESTOQUE
299;02/06/2025;334262601355500;1;1;SA?DA DO ESTOQUE
001;19/06/2025;504726450002502;-7;8;ENTRADA NO ESTOQUE
201;05/06/2025;504726450002502;-1;1;ENTRADA NO ESTOQUE
216;05/06/2025;504726450002502;1;1;SA?DA DO ESTOQUE
217;05/06/2025;504726450002502;1;1;SA?DA DO ESTOQUE
202;05/06/2025;504726450002502;-1;1;ENTRADA NO ESTOQUE
010;27/03/2025;504726450002502;9;1;ENTRADA NO ESTOQUE
010;27/03/2025;504726450002502;8;1;ENTRADA NO ESTOQUE
010;10/04/2025;504726450002502;9;9;SA?DA DO ESTOQUE
010;24/03/2025;504726450002502;1;1;ENTRADA NO ESTOQUE
010;24/03/2025;504726450002502;4;1;ENTRADA NO ESTOQUE
010;24/03/2025;504726450002502;3;1;ENTRADA NO ESTOQUE
010;24/03/2025;504726450002502;2;1;ENTRADA NO ESTOQUE
010;24/04/2025;504726450002502;-1;1;ENTRADA NO ESTOQUE
010;24/03/2025;504726450002502;0;1;ENTRADA NO ESTOQUE
010;27/03/2025;504726450002502;7;1;ENTRADA NO ESTOQUE
010;26/03/2025;504726450002502;5;1;ENTRADA NO ESTOQUE
010;26/03/2025;504726450002502;6;1;ENTRADA NO ESTOQUE
001;14/02/2025;504726450002502;-1;2;ENTRADA NO ESTOQUE
008;29/01/2025;504726450002502;7;7;SA?DA DO ESTOQUE
001;28/01/2025;504726450002502;11;11;SA?DA DO ESTOQUE
113;29/05/2025;999999990202103;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992104580;-1;1;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992104581;-1;1;AJUSTE CONTAGEM ENTRADA
109;10/03/2025;999999990202235;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992104581;-2;1;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992113055;-2;1;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992113055;-1;1;AJUSTE CONTAGEM ENTRADA
006;17/05/2025;999999990202412;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992113082;-1;1;AJUSTE CONTAGEM ENTRADA
006;13/05/2025;999999990202445;1;1;AJUSTE CONTAGEM SAIDA
024;02/01/2025;999999992280012;-1;1;AJUSTE CONTAGEM ENTRADA
001;25/01/2025;999999990202591;1;1;AJUSTE CONTAGEM SAIDA
024;02/01/2025;999999992292460;-1;1;AJUSTE CONTAGEM ENTRADA
004;16/05/2025;999999990203550;1;1;AJUSTE CONTAGEM SAIDA
024;02/01/2025;999999992296174;-1;1;AJUSTE CONTAGEM ENTRADA
