LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
074;06/05/2025;1290710;999999992578513;1;"89,99"
333;08/05/2025;1291322;999999992652557;1;"179,99"
338;06/05/2025;1290578;999999992442086;1;"19,99"
338;06/05/2025;1290578;999999992596957;1;"59,99"
333;08/05/2025;1291323;999999992366129;1;"149,99"
333;08/05/2025;1291323;999999991850989;1;"299,99"
333;08/05/2025;1291323;999999992368704;1;"149,99"
333;08/05/2025;1291323;999999992421141;1;
333;08/05/2025;1291323;999999992516401;1;"79,99"
333;08/05/2025;1291323;999999992647148;1;"399,99"
072;08/05/2025;1291964;999999991780704;1;"349,99"
203;02/05/2025;1288775;999999992205609;1;"49,99"
203;02/05/2025;1288775;999999992273204;1;"99,99"
203;02/05/2025;1288775;999999992279306;1;"49,99"
203;02/05/2025;1288775;999999992320138;1;"149,99"
203;02/05/2025;1288781;999999992151024;1;"99,99"
203;02/05/2025;1288781;999999992280604;-1;"99,99"
203;02/05/2025;1288781;999999992280655;1;"279,99"
203;02/05/2025;1288809;999999992089692;1;"119,99"
203;02/05/2025;1288809;999999992089740;1;"149,99"
203;02/05/2025;1288809;999999992089754;1;"119,99"
203;02/05/2025;1288809;999999992273026;1;"119,99"
203;02/05/2025;1288809;999999992470815;1;"199,99"
203;02/05/2025;1288809;999999992549743;1;"259,99"
203;02/05/2025;1288809;999999992549744;1;"259,99"
203;02/05/2025;1288809;999999992551989;2;"259,99"
111;06/05/2025;1290305;999999992630796;2;"74,99"
212;06/05/2025;1290653;999999991780704;2;"349,99"
074;06/05/2025;1290707;999999992574340;2;"179,99"
074;06/05/2025;1290707;999999992574342;4;"179,99"
074;06/05/2025;1290707;999999992574341;3;"179,99"
074;06/05/2025;1290792;999999992456308;1;"59,99"
074;06/05/2025;1290792;999999991223821;1;"39,99"
212;06/05/2025;1290665;999999992642424;1;"189,99"
111;06/05/2025;1290809;999999992036561;1;"29,99"
111;06/05/2025;1290809;999999991667166;2;"24,99"
111;06/05/2025;1290809;999999992320319;1;"14,99"
111;06/05/2025;1290809;999999992025113;1;"39,99"
111;06/05/2025;1290809;999999992498180;1;"19,99"
111;06/05/2025;1290809;999999991998239;1;"44,99"
111;06/05/2025;1290809;999999992320370;1;"14,99"
212;06/05/2025;1290805;999999992315261;1;"75,99"
212;06/05/2025;1290805;999999992315259;5;"75,99"
212;06/05/2025;1290805;999999992573761;4;"69,99"
212;06/05/2025;1290805;999999992573763;1;"69,99"
212;06/05/2025;1290805;999999992573764;2;"69,99"
212;06/05/2025;1290805;999999992574293;1;"189,99"
212;06/05/2025;1290805;999999991951247;3;"59,99"
212;06/05/2025;1290805;999999991951244;2;"59,99"
212;06/05/2025;1290805;999999992607234;1;"47,99"
212;06/05/2025;1290805;999999992607237;1;"47,99"
212;06/05/2025;1290805;999999992531597;1;"129,99"
212;06/05/2025;1290805;999999992572575;1;"59,99"
212;06/05/2025;1290805;999999992531600;1;"129,99"
212;06/05/2025;1290805;999999992516331;1;"179,99"
212;06/05/2025;1290805;999999992362689;1;"75,99"
212;06/05/2025;1290805;999999992624952;1;"69,99"
212;06/05/2025;1290805;999999992036636;1;"189,99"
212;06/05/2025;1290805;999999992315260;1;"75,99"
111;06/05/2025;1290809;999999991801934;1;"39,99"
111;06/05/2025;1290809;999999991801935;1;"39,99"
111;06/05/2025;1290809;999999992320464;2;"9,99"
439;08/05/2025;1291587;999999992504041;1;"79,99"
439;08/05/2025;1291581;999999992442051;1;"19,99"
439;08/05/2025;1291581;999999992442065;1;"19,99"
217;09/05/2025;1292174;999999992622782;1;"379,99"
217;09/05/2025;1292174;999999992567487;2;"299,99"
338;07/05/2025;1290557;999999992638702;1;"129,99"
338;07/05/2025;1290557;999999992527609;1;"99,99"
338;07/05/2025;1290557;999999992574146;1;"129,99"
338;07/05/2025;1290557;999999992531890;1;"199,99"
338;07/05/2025;1290557;999999992629720;2;"159,99"
338;07/05/2025;1290557;999999992629724;1;"179,99"
338;07/05/2025;1290557;999999992513072;1;"89,99"
338;07/05/2025;1290557;999999992541717;1;"109,99"
338;07/05/2025;1290557;999999992524922;1;"149,99"
338;07/05/2025;1290557;999999992629833;1;"129,99"
338;07/05/2025;1290557;999999991922588;1;"129,99"
338;07/05/2025;1290557;999999991943542;2;"129,99"
338;07/05/2025;1290557;999999992464276;1;"99,99"
338;07/05/2025;1290557;999999992506402;1;"119,99"
338;07/05/2025;1290557;999999992524836;1;"129,99"
338;07/05/2025;1290557;999999992524837;1;"129,99"
338;07/05/2025;1290557;999999992524848;1;"129,99"
338;07/05/2025;1290557;999999992524910;1;"129,99"
338;07/05/2025;1290557;999999992524918;1;"129,99"
338;07/05/2025;1290557;999999992524920;1;"149,99"
338;07/05/2025;1290557;999999992525004;1;"129,99"
338;07/05/2025;1290557;999999992527394;1;"99,99"
338;07/05/2025;1290557;999999992527610;1;"99,99"
338;07/05/2025;1290557;999999992531672;1;"169,99"
338;07/05/2025;1290557;999999992531675;1;"169,99"
338;07/05/2025;1290557;999999992531688;1;"169,99"
338;07/05/2025;1290557;999999992531690;1;"169,99"
338;07/05/2025;1290557;999999992531889;1;"199,99"
338;07/05/2025;1290557;999999992531894;3;"149,99"
338;07/05/2025;1290557;999999992532290;1;"159,99"
338;07/05/2025;1290557;999999992533004;1;"129,99"
338;07/05/2025;1290557;999999992533210;1;"129,99"
439;08/05/2025;1292102;999999992615841;1;"139,99"
338;07/05/2025;1290557;999999992574147;1;"129,99"
338;07/05/2025;1290557;999999992583740;1;"99,99"
338;07/05/2025;1290557;999999992585467;1;"119,99"
